talk_id,author,institution,location
17,Derek Malone,Texas Tech University,"Lubbock, TX, USA"
17,Clint Boal,"US Geological Survey, Texas Cooperative Fish and Wildlife Research Unit","Lubbock, TX, USA"
17,Russell Martin,Texas Parks and Wildlife Department,"Canyon, TX, USA"
17,Richard Stevens,Texas Tech University,"Lubbock, TX, USA"
17,Carlos Villalobos,Texas Tech University,"Lubbock, TX, USA"
18,Samantha Leivers,Texas A&M University,"Round Rock, TX, USA"
18,Tyler Campbell,East Foundation,"San Antonio, TX, USA"
18,Michael Bodenchuk,USDA/APHIS,"San Antonio, TX, USA"
18,John Tomecek,Texas A&M University,"Taylor, TX, USA"
19,Maya Ressler,Borderlands Research Institute - Sul Ross State University,"Marfa, TX, USA"
19,Justin French,Borderlands Research Institute,"Alpine, TX, USA"
19,Fidel Hernandez,Texas A&M University-Kingsville,"Kingsville, TX, USA"
19,Ryan Luna,Sul Ross State University,"Alpine, TX, USA"
20,Amanda Hale,"Western EcoSystems Technology, Inc.","Fort Worth, USA"
20,Victoria Zero,"Western EcoSystems Technology, Inc.","Cheyenne, WY, USA"
20,Michael True,"Western EcoSystems Technology, Inc.","Cheyenne, WY, USA"
20,Quintana Hayden,"Western EcoSystems Technology, Inc.","Cheyenne, WY, USA"
20,Rhett Good,"Western EcoSystems Technology, Inc.","Cheyenne, WY, USA"
20,Catherine Read,"Western EcoSystems Technology, Inc.","Cheyenne, WY, USA"
20,Chris Murray,"Western EcoSystems Technology, Inc.","Cheyenne, WY, USA"
21,Sarah LiCari,Texas Christian University,"Fort Worth, TX, USA"
21,Sara Weaver,Bowman Consulting,"San Marcos, TX, USA"
21,Sarah Fritts,Texas State University,"San Marcos, TX, USA"
21,Amanda Hale,Texas Christian University,"Fort Worth, TX, USA"
21,Todd Katzner,U.S. Geological Survey,"Boise, ID, USA"
21,David Nelson,"Appalachian Laboratory, University of Maryland Center for Environmental Science","Frostburg, MD, USA"
21,Dean Williams,Texas Christian University,"Fort Worth, TX, USA"
22,Brendan Mulhall,Texas State University,"Austin, TX, USA"
22,James Giocomo,American Bird Conservancy,"Durand, IL, USA"
22,Clay Green,Texas State University,"San Marcos, TX, USA"
23,Cade Coldren,Plant and Soil Science,"Lubbock, TX, USA"
24,Rebecca Nishida,The University of Texas at San Antonio,"Creedmoor, NC, USA"
24,Jennifer Smith,"Dep. of Environmental Sciences & Ecology, UTSA","San Antonio, TX, USA"
25,Hayden Deppe,St. Edward's University,"Austin, TX, USA"
25,Samuel Stone,St. Edward's University,"Austin, USA"
25,Noah Powell,University of Texas/Wild Basin Creative Research Center,"Austin, TX, USA"
25,Matthew McGinnis,Texas State University,"Katy, TX, USA"
25,Allison White,St. Edward's University,"Austin, USA"
25,William Quinn,St. Edward's University,"Austin, USA"
25,Darren Proppe,St. Edward's University,"Dripping Springs, TX, USA"
26,Sam Kieschnick,Texas Parks and Wildlife,"Cedar Hill, TX, USA"
27,Christopher Serenari,Texas State University,"San Marcos, TX, USA"
27,Elizabeth Pratt,University of Georgia,"Athens, GA, USA"
27,Abby Meeks,Texas State University,"San Marcos, TX, USA"
27,Kristy Daniel,Texas State University,"San Marcos, TX, USA"
28,Derek Wiley,Texas Parks and Wildlife Department/Oaks and Prairies Joint Venture,"Throckmorton, TX, USA"
28,James Giocomo,American Bird Conservancy,"Durand, IL, USA"
28,Robert Perez,OPJV/ABC,"La Vernia, TX, USA"
28,Kenneth Gee,OPJV/ABC,"Ardmore, OK, USA"
28,Steve Riley,American Bird Conservancy,"Gretna, NE, USA"
28,Anna Matthews,OPJV/ABC,"San Marcos, TX, USA"
28,Ty Higginbotham,NA,"Karnes City, TX, USA"
28,Amanda Haverland,American Bird Conservancy,"Santa Fe, NM, USA"
28,Thomas Janke,Quail Forever,"Gouldbusk, TX, USA"
28,Amber Brown,OPJV,"Karnes City, TX, USA"
28,Kati Biggs,OPJV,"Alamogordo, NM, USA"
28,Mitchell Riggs,Quail Forever,"Coleman, TX, USA"
28,Taylor Daily,Pheasants Forever/Quail Forever,"Kerrville, TX, USA"
28,Charlotte Wilson,Pheasants Forever,"Rosenberg, TX, USA"
28,Cole Fagen,OPJV/ABC,"Ada, OK, USA"
28,Will Newman,TPWD,"Temple, TX, USA"
28,Jon Hayes,Audubon,"Santa Fe, NM, USA"
28,Leah Lowe,ODWC,"Coleman, OK, USA"
29,Ariana Rivera,Texas Tech University,"Lubbock, TX, USA"
29,Lucas Schilder,Texas Tech University,"Lubbock, TX, USA"
29,Jane Rogosch,U.S. Geological Survey Texas Cooperative Fish and Wildlife Research Unit Texas Tech University,"Lubbock, USA"
