talk_id,author,institution,location
1,Katherine Travis,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
1,Caleb McKinney,Texas A&M University - Kingsville,"Kingsville, TX, USA"
1,Evan Tanner,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
1,Ashley Tanner,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
1,David Hewitt,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
1,David Wester,Texas A&M University - Kingsville,"Kingsville, TX, USA"
1,Fidel Hernandez,Texas A&M University - Kingsville,"Kingsville, TX, USA"
1,Leonard Brennan,,"Kingsville, TX, USA"
1,Humberto Perotto-Baldivieso,"Texas A&M University - College Station, College Station, TX, Ryan Luna , Borderlands Research Institute - Sul Ross State University","Alpine, TX, USA"
1,R. Dwayne Elmore,"Tall Timbers Research, Inc.","Tallahassee, FL, USA"
1,John McLaughlin,,"Lubbock, TX, USA"
2,Lindsay Martinez,East Foundation,"Weslaco, TX, USA"
2,Jason Lombardi,,"Kingsville, TX, USA"
2,Garrett Powers,Texas A&M University Natural Resources Institute,"College Station, TX, USA"
2,Amanda Anderson,,"College Station, TX, USA"
2,Israel Parker,"Texas A&M University Natural Resources Institute, 77840, TX, USA",
2,Forrest East,Texas A&M University Natural Resources Institute,"College Station, TX, USA"
2,Tyler Campbell,East Foundation,"San Antonio, TX, USA"
2,Cindy Dohner,"Cindy K. Dohner, LLC","Destin, FL, USA"
2,Michael Brennan,Texas A&M University Natural Resources Institute,"College Station, TX, USA"
2,Roel Lopez,Texas A&M University Natural Resources Institute,"San Antonio, TX, USA"
3,Chad Argabright,Louisiana State University,"Baton Rouge, LA, USA"
3,Rusty Wood,Texas Parks & Wildlife Department,"Nacogdoches, TX, USA"
3,Jason Hardin,Texas Parks & Wildlife Department,"Austin, TX, USA"
3,Bret Collier,Louisiana State University,"Baton Rouge, LA, USA"
4,Thomas Yamashita,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
4,David Wester,Texas A&M University - Kingsville,"Kingsville, TX, USA"
4,Zachary Wardle,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
4,Daniel Scognamillo,,"Kingsville, TX, USA"
4,Landon Schofield,East Foundation,"Kingsville, TX, USA"
4,Michael Tewes,Texas A&M University - Kingsville,"Kingsville, TX, USA"
4,John Young,Texas Department of Transportation,"Austin, TX, USA"
4,Jason Lombardi,,"Kingsville, TX, USA"
5,Angela Patrick,Texas Tech University,"Lubbock, TX, USA"
5,Matthew Buchholz,Michigan State University,"East Lansing, MI, USA"
5,Warren Conway,Texas Tech University,"Shallowater, TX, USA"
5,Courtney Ramsey,Texas Tech University,"Lubbock, TX, USA"
5,Matthew Johnson,Texas Tech University,"Lubbock, TX, USA"
6,Georgina Eccles,,"Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville, Kingsville, USA"
6,Kevin Kraai,Texas Parks & Wildlife Department,"Canyon, TX, USA"
6,Daniel Collins,U.S. Fish and Wildlife Service,"Albuquerque, NM, USA"
6,Jay VonBank,U.S. Geological Survey,"Jamestown, ND, USA"
6,Jordan Giese,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
6,Dale James,Welder Wildlife Foundation,"Sinton, TX, USA"
6,Bart Ballard,Texas A&M University - Kingsville,"Kingsville, TX, USA"
7,Alejandro Bazaldua,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
7,Fidel Hernandez,Texas A&M University - Kingsville,"Kingsville, TX, USA"
7,Aaron Foley,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
7,Kristyn Stewart-Murphy,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Sinton, TX, USA"
8,Brooke Bowman,"Borderlands Research Institute, Sul Ross State University","Alpine, TX, USA"
8,Ryan Luna,Borderlands Research Institute - Sul Ross State University,"Alpine, TX, USA"
8,Justin French,Borderlands Research Institute - Sul Ross State University,"Alpine, TX, USA"
8,Lalo Gonzalez,Borderlands Research Institute - Sul Ross State University,"Alpine, TX, USA"
8,Evan Tanner,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
8,Jesse Wood,,"Midland, TX, USA"
9,John Herschberger,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
9,Fidel Hernandez,Texas A&M University - Kingsville,"Kingsville, TX, USA"
9,David Wester,Texas A&M University - Kingsville,"Kingsville, TX, USA"
9,John Edwards,Cross Timbers Consulting,"Edmore, MI, USA"
9,Alejandro Bazaldua,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
9,Kristyn Stewart-Murphy,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Sinton, TX, USA"
10,Lindsey Howard,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
10,Fidel Hernandez,Texas A&M University - Kingsville,"Kingsville, TX, USA"
10,Clay Hilton,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
10,David Hewitt,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
10,David Wester,Texas A&M University - Kingsville,"Kingsville, TX, USA"
10,Michelle Garcia,Texas A&M University - Kingsville,"Kingsville, TX, USA"
11,Trey Johnson,Texas Tech University,"Ponder, TX, USA"
11,Bradley Kubecka,"Tall Timbers Research, Inc.","Magnolia, TX, USA"
11,C. Brad Dabbert,Texas Tech University,"Lubbock, TX, USA"
12,Kristyn Stewart-Murphy,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Sinton, TX, USA"
12,Fidel Hernandez,Texas A&M University - Kingsville,"Kingsville, TX, USA"
12,Sabrina Szeto,"Sabrina Szeto Consulting, Isen, GER Jon Horne ","Idaho Department of Fish and Game, Boise, USA"
12,Alejandra Olivera-Mendez,"Colegio de Postgraduados, San Luis Potosi","Salinas de Hidalgo, San Luis Potosi, MEX"
13,Breanna Green,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
13,Evan Tanner,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
13,Clay Hilton,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
13,Michael Cherry,CKWRI,"Kingsville, TX, USA"
14,Calvin Ellis,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
14,Levi Heffelfinger,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Ransom Canyon, TX, USA"
14,David Hewitt,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
14,Randy DeYoung,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
14,Timothy Fulbright,Texas A&M University - Kingsville,"Kingsville, TX, USA"
14,Louis Harveson,Sul Ross State University,"Alpine, TX, USA"
14,Warren Conway,Texas Tech University,"Shallowater, TX, USA"
14,Shawn Gray,Texas Parks & Wildlife Department,"Alpine, TX, USA"
14,Michael Cherry,CKWRI,"Kingsville, TX, USA"
15,Miranda Hopper,Caesar Kleberg Wildlife Research Institute - Texas A&M University - Kingsville,"Kingsville, TX, USA"
