Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
1378057,Brownsboro,Populated Place,Caldwell County,Texas,McMahan,137,29.7838368,-97.6091643,None,11/30/1979,10744,U6,null,null,48055,48
1372749,Brownsville,Populated Place,Cameron County,Texas,East Brownsville,10,25.9017472,-97.4974838,1/1/1943,11/30/1979,10768,P1,null,null,48061,48
1331377,Brownwood,Populated Place,Orange County,Texas,Orange,3,30.1143763,-93.7351659,None,11/30/1979,10792,U4,null,null,48361,48
1372753,Brownwood,Populated Place,Brown County,Texas,Brownwood,416,31.7093197,-98.9911611,None,11/30/1979,10780,P1,null,null,48049,48
1380960,Brownwood,Populated Place,Harris County,Texas,La Porte,1,29.7491162,-95.0499295,None,12/1/1991,null,null,null,null,48201,48
1388210,Bruceville,Populated Place,McLennan County,Texas,Bruceville,191,31.319339,-97.2366705,None,11/30/1979,10816,U4,null,null,48309,48
1690857,Bruceville-Eddy,Populated Place,McLennan County,Texas,Moody,212,31.3051725,-97.251671,None,5/7/1996,10828,P1,null,null,48309,48
1378058,Brumley,Populated Place,Upshur County,Texas,Leesburg,112,32.8795731,-95.0149383,None,11/30/1979,10840,U6,null,null,48459,48
1353013,Brundage,Populated Place,Dimmit County,Texas,Brundage,163,28.5741496,-99.6686601,None,11/30/1979,10852,U5,null,null,48127,48
1331397,Bruner,Populated Place,Orange County,Texas,Orangefield,2,30.0888213,-93.7540555,None,11/30/1979,10864,U4,null,null,48361,48
1331398,Bruni,Populated Place,Webb County,Texas,Bruni,237,27.4261436,-98.8408552,None,11/30/1979,10876,U5,null,null,48479,48
1381527,Brunswick,Populated Place,Cherokee County,Texas,Forest,104,31.5818446,-95.0618828,None,11/30/1979,10888,U6,null,null,48073,48
1378059,Brushie Prairie,Populated Place,Navarro County,Texas,Irene,152,31.9943221,-96.7552703,None,11/30/1979,null,null,null,null,48349,48
1378061,Brushy,Populated Place,Hood County,Texas,Granbury,294,32.3865281,-97.8269755,None,11/30/1979,null,null,null,null,48221,48
1378060,Brushy,Populated Place,Cherokee County,Texas,Tecula,128,32.0929393,-95.1466121,None,11/30/1979,null,null,null,null,48073,48
1867542,Brushy Creek,Populated Place,Williamson County,Texas,Round Rock,252,30.513532,-97.7397313,None,5/15/2000,10897,U5,null,null,48491,48
1379464,Brushy Creek,Populated Place,Anderson County,Texas,Pert,139,31.9576644,-95.6149581,None,11/30/1979,10892,U6,null,null,48001,48
1378062,Bryan,Populated Place,Wise County,Texas,Rhome,279,33.0987328,-97.4183544,None,11/30/1979,null,null,null,null,48497,48
1353099,Bryan,Populated Place,Brazos County,Texas,Bryan East,114,30.6743643,-96.3699632,None,11/30/1979,10912,P1,null,null,48041,48
2009852,Bryan Acres Colonia,Populated Place,Hidalgo County,Texas,Alton,47,26.2953485,-98.2983482,None,10/20/2003,null,null,null,null,48215,48
2034487,Bryan Beach,Populated Place,Brazoria County,Texas,Jones Creek,1,28.8833061,-95.3785523,None,2/20/2004,null,null,null,null,48039,48
2009853,Bryan's Addition Colonia,Populated Place,Hidalgo County,Texas,Pharr,36,26.2053515,-98.2233455,None,10/20/2003,null,null,null,null,48215,48
1331465,Bryans Mill,Populated Place,Cass County,Texas,Bryans Mill,98,33.2351236,-94.4979778,None,11/30/1979,10924,U6,null,null,48067,48
1379465,Bryarly,Populated Place,Red River County,Texas,White Rock,115,33.7464974,-94.8907739,None,11/30/1979,null,null,null,null,48387,48
2034730,Bryce,Populated Place,Rusk County,Texas,Caledonia,136,31.9682233,-94.5404836,None,2/20/2004,null,null,null,null,48401,48
1379466,Bryden,Populated Place,Moore County,Texas,Cactus East,1094,36.0233691,-101.9551758,None,11/30/1979,10948,U6,null,null,48341,48
1331472,Bryson,Populated Place,Jack County,Texas,Bryson,380,33.1612263,-98.385607,None,11/30/1979,10960,P1,null,null,48237,48
1353114,Buchanan Dam,Populated Place,Llano County,Texas,Kingsland,321,30.7399037,-98.4311413,None,11/30/1979,10984,U5,null,null,48299,48
2034951,Buchanan Lake Village,Populated Place,Llano County,Texas,Lake Buchanan,321,30.8507331,-98.4494766,None,2/20/2004,10990,U5,null,null,48299,48
2034882,Buchel,Populated Place,DeWitt County,Texas,Concrete,62,29.1588625,-97.2913784,None,2/20/2004,null,null,null,null,48123,48
1379467,Buck Hollow,Populated Place,Kimble County,Texas,Roosevelt,573,30.490189,-100.0206311,None,11/30/1979,null,null,null,null,48267,48
1353148,Buckeye,Populated Place,Matagorda County,Texas,Markham,12,28.895538,-96.0480164,None,11/30/1979,11008,U6,null,null,48321,48
1353150,Buckholts,Populated Place,Milam County,Texas,Pettibone,159,30.8729661,-97.1249919,None,11/30/1979,11020,P1,null,null,48331,48
1378063,Buckhorn,Populated Place,Austin County,Texas,Buckhorn,81,30.0385546,-96.1999618,None,11/30/1979,11032,U6,null,null,48015,48
1353151,Buckhorn,Populated Place,Newton County,Texas,Newton East,40,30.7665904,-93.6815654,None,11/30/1979,11044,U6,null,null,48351,48
1331508,Buckingham,Populated Place,Dallas County,Texas,Garland,191,32.9365126,-96.7249982,None,11/30/1979,11056,U4,null,null,48113,48
1378064,Buckner,Populated Place,Parker County,Texas,Dennis,223,32.5898563,-97.9025355,None,11/30/1979,11068,U6,null,null,48367,48
1378065,Buckner,Populated Place,Collin County,Texas,McKinney West,201,33.2176162,-96.6636044,None,11/30/1979,null,null,null,null,48085,48
2471729,Buckner Haven,Populated Place,Harris County,Texas,Hedwig Village,22,29.7644,-95.5486,None,7/16/2008,null,null,null,null,48201,48
1331525,Buda,Populated Place,Hays County,Texas,Buda,216,30.0852135,-97.8402827,None,11/30/1979,11080,P1,null,null,48209,48
1353176,Buena Vista,Populated Place,Bexar County,Texas,Southton,164,29.2713497,-98.4614043,None,11/30/1979,11092,U4,null,null,48029,48
1379468,Buena Vista,Populated Place,Pecos County,Texas,Buena Vista,725,31.2112559,-102.6407039,1/1/1974,11/30/1979,11098,U6,null,null,48371,48
1353177,Buena Vista,Populated Place,El Paso County,Texas,Smeltertown,1163,31.8084402,-106.5399885,None,11/30/1979,11095,U4,null,null,48141,48
1378066,Buena Vista,Populated Place,Cameron County,Texas,La Coma,4,26.2450742,-97.3488674,None,11/30/1979,null,null,null,null,48061,48
2010188,Buena Vista Colonia,Populated Place,Duval County,Texas,Ben Bolt NW,99,27.7433598,-98.2452844,None,10/20/2003,null,null,null,null,48131,48
2011351,Buena Vista Colonia,Populated Place,San Patricio County,Texas,Sinton East,15,28.0291822,-97.4983276,None,10/20/2003,null,null,null,null,48409,48
2011267,Buena Vista Colonia,Populated Place,Starr County,Texas,Sullivan City,60,26.2942364,-98.6114117,None,10/20/2003,11102,U5,null,null,48427,48
2010644,Buena Vista Colonia,Populated Place,Zapata County,Texas,Zapata,106,26.8922611,-99.2664254,None,10/20/2003,null,null,null,null,48505,48
2011268,Buena Vista Plaza Colonia,Populated Place,Starr County,Texas,Roma-Los Saenz East,56,26.4083963,-98.9803074,None,10/20/2003,null,null,null,null,48427,48
1379469,Buenos,Populated Place,Garza County,Texas,South Dokegood Creek,875,33.2992595,-101.4876461,None,11/30/1979,11104,U6,null,null,48169,48
1379470,Buenos Aires,Populated Place,Brewster County,Texas,Smoky Creek,647,29.0852039,-103.4690674,None,11/30/1979,null,null,null,null,48043,48
1378067,Buffalo,Populated Place,Coleman County,Texas,Thrifty,458,31.7907039,-99.207834,None,11/30/1979,null,null,null,null,48083,48
1353185,Buffalo,Populated Place,Leon County,Texas,Buffalo,117,31.4637866,-96.0580197,None,11/30/1979,11116,P1,null,null,48289,48
1378068,Buffalo,Populated Place,Henderson County,Texas,Styx,107,32.2723687,-96.2799781,None,11/30/1979,null,null,null,null,48213,48
1379471,Buffalo,Populated Place,Mills County,Texas,Bowser,405,31.4815519,-98.8978258,None,11/30/1979,null,null,null,null,48333,48
1331572,Buffalo Gap,Populated Place,Taylor County,Texas,Buffalo Gap,582,32.2792968,-99.8300894,None,11/30/1979,11128,P1,null,null,48441,48
1353201,Buffalo Gap,Populated Place,Travis County,Texas,Mansfield Dam,227,30.3807567,-97.9519562,None,11/30/1979,11140,U6,null,null,48453,48
2034774,Buffalo Mop,Populated Place,Limestone County,Texas,Odds,148,31.4190625,-96.6947056,None,2/20/2004,null,null,null,null,48293,48
1381546,Buffalo Springs,Populated Place,Dallam County,Texas,Buffalo Springs,1305,36.486693,-102.7593618,None,11/30/1979,null,null,null,null,48111,48
1353209,Buffalo Springs,Populated Place,Clay County,Texas,Joy,325,33.556495,-98.1397652,None,11/30/1979,11152,U6,null,null,48077,48
1388617,Buffalo Springs Lake,Populated Place,Lubbock County,Texas,Buffalo Springs Lake,922,33.5320312,-101.708218,None,9/1/1995,11155,P1,null,null,48303,48
1331582,Buford,Populated Place,Mitchell County,Texas,Colorado City,659,32.4615053,-100.8567805,None,11/30/1979,11164,U6,null,null,48335,48
1379472,Buford,Populated Place,El Paso County,Texas,Ysleta,1114,31.6490018,-106.2780361,None,11/30/1979,null,null,null,null,48141,48
2010178,Buford View Estates Colonia,Populated Place,El Paso County,Texas,Ysleta,1115,31.6520571,-106.2935921,None,10/20/2003,null,null,null,null,48141,48
1381548,Bug Tussle,Populated Place,Fannin County,Texas,Ladonia,177,33.4837176,-95.9435788,None,11/30/1979,11176,U6,null,null,48147,48
1353222,Bula,Populated Place,Bailey County,Texas,Bula,1156,33.9114799,-102.6379803,None,11/30/1979,null,null,null,null,48017,48
1379473,Bulah,Populated Place,Cherokee County,Texas,Pryor Mountain,104,31.6854534,-95.2168885,None,11/30/1979,null,null,null,null,48073,48
1379474,Bulcher,Populated Place,Cooke County,Texas,Leon South,248,33.8003815,-97.4297431,None,11/30/1979,11200,U6,null,null,48097,48
1331622,Bullard,Populated Place,Smith County,Texas,Bullard,154,32.1398804,-95.320229,None,11/30/1979,11212,P1,null,null,48423,48
2010329,Bullis Addition Colonia,Populated Place,Cameron County,Texas,Rio Hondo,8,26.2214629,-97.5822096,None,10/20/2003,null,null,null,null,48061,48
1378069,Bullock,Populated Place,Eastland County,Texas,La Casa,472,32.5156843,-98.6867263,None,11/30/1979,null,null,null,null,48133,48
1378070,Bulverde,Populated Place,Comal County,Texas,Bulverde,333,29.7438332,-98.4530729,None,11/30/1979,11224,P1,null,null,48091,48
1353302,Buna,Populated Place,Jasper County,Texas,Buna,23,30.4329842,-93.9624008,None,11/30/1979,11236,U5,null,null,48241,48
1353303,Bunavista,Populated Place,Hutchinson County,Texas,Borger,964,35.6536541,-101.4473895,None,11/30/1979,11248,U4,null,null,48233,48
1379475,Buncome,Populated Place,Panola County,Texas,Lake Murvaul,90,32.049054,-94.4238125,1/1/1962,11/30/1979,11260,U6,null,null,48365,48
1379476,Bundy Crossing,Populated Place,Madison County,Texas,Canary,70,30.9243559,-96.2044041,None,11/30/1979,null,null,null,null,48313,48
1378071,Bunger,Populated Place,Young County,Texas,Graham,336,33.0137288,-98.5939466,None,11/30/1979,11272,U6,null,null,48503,48
1379477,Bunker Hill,Populated Place,Jasper County,Texas,Buna,20,30.397151,-93.9426772,None,11/30/1979,null,null,null,null,48241,48
1379478,Bunker Hill,Populated Place,Dallam County,Texas,Wharton Ranch,1316,36.1264225,-102.8743709,None,11/30/1979,null,null,null,null,48111,48
1381554,Bunker Hill,Populated Place,Lamar County,Texas,Direct,145,33.8306567,-95.771078,None,11/30/1979,11296,U6,null,null,48277,48
